#Frame           SHP2       ligand
       1       0.0000       0.0000
       2       0.1758       0.4267
       3       0.1706       0.5442
       4       0.2875       0.4259
       5       0.2831       0.4308
       6       0.6362       0.7491
       7       0.7206       0.7636
       8       1.1419       0.5526
       9       1.0287       0.8859
      10       1.2810       0.5290
      11       1.3935       0.6751
      12       1.2556       0.5990
      13       1.3439       0.7740
      14       1.3895       0.9932
      15       1.2923       0.7742
      16       1.2351       0.9803
      17       1.3135       0.5188
      18       1.4078       0.6458
      19       1.2843       0.6092
      20       1.4141       0.7376
      21       1.6663       0.6632
      22       1.4782       0.8405
      23       1.7010       0.4347
      24       1.5585       0.9715
      25       1.5408       0.6911
      26       1.6010       0.4418
      27       1.6607       0.7622
      28       1.5362       0.7359
      29       1.5096       0.8114
      30       1.5166       0.5585
      31       1.7966       0.7282
      32       1.5826       0.9343
      33       1.4519       0.8070
      34       1.4457       0.7769
      35       1.3874       0.6509
      36       1.4727       0.4352
      37       1.4706       0.5784
      38       1.5149       0.9363
      39       1.5087       0.7051
      40       1.3838       0.7680
      41       1.5780       0.7209
      42       1.5681       0.5988
      43       1.5747       0.7231
      44       1.4960       0.7368
      45       1.5502       0.5406
      46       1.4892       0.5749
      47       1.4576       0.5535
      48       1.5152       0.7491
      49       1.6335       0.6138
      50       1.6433       0.5656
      51       1.8232       0.6365
      52       1.6645       0.6846
      53       1.6566       0.4209
      54       1.5097       0.3747
      55       1.6663       0.4269
      56       1.5606       0.5090
      57       1.4050       0.6721
      58       1.5896       0.6802
      59       1.5694       0.6541
      60       1.5673       0.4643
      61       1.6501       0.8871
      62       1.6333       0.8769
      63       1.7133       0.8774
      64       1.6548       0.6847
      65       2.0252       1.0956
      66       1.8633       1.0397
      67       1.6825       0.7532
      68       1.8106       0.9488
      69       1.7498       0.6967
      70       1.8349       0.8312
      71       1.9832       1.2477
      72       2.1781       1.9196
      73       2.5540       2.0453
      74       2.1997       1.7252
      75       2.3047       1.8588
      76       2.3674       1.4566
      77       2.4020       1.4246
      78       2.2816       1.3513
      79       2.0163       1.3715
      80       2.1736       0.9562
      81       2.2438       1.7509
      82       2.3579       1.5560
      83       2.5981       1.7923
      84       2.9384       2.2448
      85       3.1346       2.0093
      86       2.7681       1.6177
      87       2.7466       1.5177
      88       2.4268       1.3063
      89       2.1710       0.9353
      90       2.1848       0.8226
      91       2.4899       1.0381
      92       2.6916       1.6410
      93       2.3808       1.0714
      94       2.3127       0.6698
      95       2.2668       1.0623
      96       2.3812       0.6386
      97       2.7055       1.6134
      98       2.6221       1.4307
      99       2.6605       1.3150
     100       2.2270       0.7447
     101       2.3702       0.6017
     102       2.4498       1.0106
     103       2.3374       0.8551
     104       2.1854       0.6834
     105       2.1056       0.6119
     106       2.1610       0.6276
     107       2.1493       0.8844
     108       1.9725       0.8014
     109       2.0191       0.8946
     110       2.0775       0.7015
     111       2.4062       1.0768
     112       2.1480       0.7842
     113       2.3299       1.1322
     114       2.3081       0.7343
     115       2.3464       0.5340
     116       2.6062       0.7991
     117       2.5212       0.7647
     118       2.5799       0.6542
     119       2.5770       1.0889
     120       2.5399       1.0333
     121       2.6492       1.0195
     122       2.6287       1.1050
     123       2.5810       0.9135
     124       2.5967       0.8184
     125       2.3228       0.8775
     126       2.4397       0.9782
     127       2.3652       0.7081
     128       2.4823       0.8806
     129       2.3717       0.6640
     130       2.5471       1.4808
     131       2.5157       0.7850
     132       2.5580       1.2011
     133       2.4378       0.8495
     134       2.3912       0.6512
     135       2.4855       1.1917
     136       2.8715       1.1753
     137       2.7280       1.3626
     138       2.4771       0.5904
     139       2.4196       1.1086
     140       2.5544       1.1285
     141       2.5286       1.0725
     142       2.4239       0.4962
     143       2.5581       0.8577
     144       2.8558       1.2963
     145       2.5677       0.9333
     146       2.5986       0.8268
     147       2.4915       0.8523
     148       2.3337       0.8851
     149       2.3651       0.5461
     150       2.6632       1.0807
     151       2.8099       0.9236
     152       2.6046       1.0514
     153       2.5263       0.5400
     154       2.2845       0.9545
     155       2.6462       0.8526
     156       2.7455       0.5827
     157       2.6472       0.8841
     158       2.9134       1.1889
     159       2.6691       0.9571
     160       2.7134       1.3556
     161       2.8755       1.6622
     162       2.8252       1.3776
     163       2.7078       1.0479
     164       2.8559       1.1400
     165       2.6797       0.8881
     166       2.7502       0.8628
     167       2.6591       0.8961
     168       2.9321       1.0361
     169       2.9192       1.4291
     170       2.8349       1.1027
     171       2.8328       1.5609
     172       2.6547       0.8780
     173       2.6686       1.0596
     174       2.9527       1.3571
     175       2.5694       0.9450
     176       2.5536       0.9543
     177       2.4104       0.9276
     178       2.4011       0.9372
     179       2.4462       1.0435
     180       2.4180       0.5688
     181       2.3979       0.7715
     182       2.5493       0.8297
     183       2.6663       0.6965
     184       2.6062       0.6927
     185       2.7458       0.9997
     186       2.4889       0.6897
     187       2.6114       0.7572
     188       2.6271       0.5375
     189       2.5174       0.6344
     190       2.5672       0.6215
     191       2.3750       0.7121
     192       2.3836       0.9349
     193       2.4771       0.7609
     194       2.4641       1.1339
     195       2.3186       0.6706
     196       2.2317       0.6957
     197       2.4150       1.2148
     198       2.3463       0.4555
     199       2.3687       0.7661
     200       2.4340       1.0054
     201       2.5922       0.7648
     202       2.4698       0.8337
     203       2.5734       1.3863
     204       2.6158       1.4318
     205       2.4139       0.8015
     206       2.5030       0.9604
     207       2.3446       1.0118
     208       2.3753       0.7038
     209       2.5683       1.1211
     210       2.5490       1.0723
     211       2.4759       0.9191
     212       2.5332       0.9358
     213       2.4027       0.5955
     214       2.2635       1.2917
     215       2.3213       0.5576
     216       2.4711       0.8438
     217       2.5206       1.1740
     218       2.4594       0.7729
     219       2.2949       0.8696
     220       2.3227       1.0931
     221       2.2564       0.9862
     222       2.3944       0.7544
     223       2.4608       0.9803
     224       2.1863       0.9489
     225       2.1845       0.8152
     226       2.3631       1.0872
     227       2.4814       0.7580
     228       2.4006       0.7839
     229       2.5632       1.5745
     230       2.4411       1.2876
     231       2.3891       1.1175
     232       2.4220       1.2238
     233       1.9808       0.7025
     234       2.0260       1.4834
     235       2.2556       1.0400
     236       2.1248       0.7912
     237       2.2203       0.9664
     238       2.2069       1.0259
     239       2.3599       0.9395
     240       2.2496       0.9237
     241       2.2421       0.9648
     242       2.3436       1.0368
     243       2.2790       0.9675
     244       2.4335       0.7025
     245       2.4703       1.3206
     246       2.6433       1.0529
     247       2.5027       1.2915
     248       2.5635       1.3444
     249       2.4819       1.4074
     250       2.4030       1.4548
     251       2.5528       1.6403
     252       2.5831       0.8981
     253       2.4639       0.8296
     254       2.4865       1.4018
     255       2.6496       0.8123
     256       2.6556       0.6818
     257       2.7751       1.3233
     258       2.7049       1.1167
     259       2.9065       1.2303
     260       2.7897       1.7819
     261       2.6000       1.0364
     262       2.7922       0.8954
     263       2.8324       1.0685
     264       2.6283       0.7046
     265       2.6119       0.6611
     266       2.4205       1.3632
     267       2.5157       1.3335
     268       2.7141       0.7544
     269       2.8503       1.0498
     270       2.9946       1.8800
     271       2.6861       0.7972
     272       2.8227       0.9955
     273       2.4312       1.5384
     274       2.4296       1.1822
     275       2.3235       0.8377
     276       2.3197       1.2013
     277       2.4508       1.1079
     278       2.4322       0.8997
     279       2.7343       1.3464
     280       2.6167       0.9993
     281       2.4683       1.2880
     282       2.4819       1.1843
     283       2.4775       1.3810
     284       2.4864       1.0011
     285       2.6501       1.4821
     286       2.5091       1.1626
     287       2.8629       1.9522
     288       2.7460       1.4087
     289       2.8266       1.6279
     290       3.0201       1.6371
     291       3.0797       1.4501
     292       3.0902       1.0757
     293       3.2076       1.3999
     294       3.2445       1.7787
     295       3.1285       1.8278
     296       3.1117       1.3240
     297       3.1105       1.3443
     298       3.4041       1.8513
     299       3.3507       1.6254
     300       3.4196       1.8121
     301       3.6360       1.8451
     302       3.2066       1.9521
     303       3.1002       2.0298
     304       3.7070       2.2837
     305       3.8505       2.5037
     306       3.0878       2.3467
     307       3.2191       2.3926
     308       3.0695       1.5790
     309       3.1063       1.7631
     310       3.0898       1.6474
     311       3.1976       1.4430
     312       3.2196       1.8131
     313       3.3527       1.5413
     314       3.2829       1.3132
     315       3.2834       2.1000
     316       3.2674       2.3862
     317       3.5013       2.3404
     318       3.3336       1.6429
     319       3.0925       2.2285
     320       3.2004       1.5807
     321       3.0219       1.7216
     322       3.1496       2.0796
     323       3.1592       2.5953
     324       2.9889       2.2622
     325       2.9975       1.3977
     326       3.1322       1.8390
     327       3.1293       1.4944
     328       3.3703       1.4566
     329       3.6352       1.9164
     330       3.6196       1.8161
     331       3.2494       1.6665
     332       3.1299       1.7991
     333       3.2544       2.1834
     334       3.4007       3.0629
     335       3.6013       2.6680
     336       3.0367       1.6124
     337       3.2213       1.7356
     338       3.6019       2.5792
     339       3.8851       2.2433
     340       3.5840       1.8512
     341       3.6563       2.0972
     342       3.8089       2.6192
     343       3.4940       2.4233
     344       3.5138       2.2801
     345       3.6596       1.9941
     346       3.6747       1.8032
     347       3.5231       2.1370
     348       3.2665       1.3867
