#Frame           SHP2       ligand
       1       0.0000       0.0000
       2       0.1726       0.4743
       3       0.1786       0.4947
       4       0.2942       0.5140
       5       0.2918       0.3443
       6       0.6610       0.4666
       7       0.7926       0.4076
       8       1.1398       0.8262
       9       1.4046       0.8776
      10       1.1503       1.0942
      11       1.3216       0.7774
      12       1.2781       0.9102
      13       1.2127       0.9587
      14       1.3356       0.6909
      15       1.3756       1.0753
      16       1.3527       0.6627
      17       1.4412       0.6631
      18       1.3485       0.6178
      19       1.5293       0.5790
      20       1.4826       0.7406
      21       1.2936       0.5390
      22       1.3636       0.3994
      23       1.4114       0.6110
      24       1.4133       0.5996
      25       1.4128       0.4893
      26       1.2793       0.8254
      27       1.3314       0.4567
      28       1.2308       0.5258
      29       1.5663       0.7134
      30       1.4094       0.5584
      31       1.4633       0.6182
      32       1.7326       0.8244
      33       1.6131       0.9149
      34       1.4697       1.0577
      35       1.5082       1.0854
      36       1.5402       0.8854
      37       1.6443       0.9620
      38       1.6361       0.7438
      39       1.7048       0.6772
      40       1.6071       0.6474
      41       1.6547       0.9160
      42       1.7028       0.8300
      43       1.5424       1.0690
      44       1.5554       0.5956
      45       1.4849       0.9811
      46       1.6354       1.3381
      47       1.6977       0.6233
      48       1.7568       0.7766
      49       1.8478       0.9017
      50       1.8003       0.8445
      51       1.8035       0.7770
      52       1.8022       0.7597
      53       1.8778       0.7913
      54       1.8348       0.6554
      55       1.9986       1.2521
      56       1.9242       0.9519
      57       1.8616       0.8952
      58       1.8669       1.5478
      59       1.7604       0.8882
      60       1.9070       1.9034
      61       1.9200       1.4146
      62       2.0840       1.8441
      63       2.0444       1.4655
      64       1.7793       0.9124
      65       1.9119       1.2842
      66       1.9778       1.4503
      67       2.0315       1.4991
      68       2.0762       1.2000
      69       2.3341       1.2425
      70       2.1053       0.8624
      71       2.0624       1.6088
      72       1.9938       1.4432
      73       1.9965       1.2186
      74       1.9395       1.7829
      75       1.9194       1.4723
      76       1.8519       1.4439
      77       1.8808       1.5259
      78       1.8727       0.9841
      79       2.0059       1.0034
      80       1.9598       0.8847
      81       1.9183       0.8388
      82       1.9180       1.1160
      83       1.9843       1.4346
      84       1.9272       1.0323
      85       1.9062       0.8799
      86       2.1501       1.1395
      87       2.1789       1.3063
      88       2.2889       0.9107
      89       2.2085       1.0653
      90       2.0964       1.5153
      91       2.1208       1.4379
      92       2.0160       1.0718
      93       2.3713       1.5765
      94       2.3126       1.7402
      95       2.4616       1.8081
      96       2.3309       1.4608
      97       2.3441       1.2184
      98       2.7253       2.1401
      99       2.7847       1.4618
     100       2.6918       1.4080
     101       2.4630       1.7946
     102       2.5817       1.6054
     103       2.7230       2.0274
     104       2.8816       1.3976
     105       2.9215       1.3695
     106       2.9582       1.3961
     107       2.9152       1.1788
     108       3.1873       1.4253
     109       3.3250       1.1477
     110       3.2455       1.1504
     111       3.4209       1.2825
     112       3.3961       1.3813
     113       3.5361       2.4925
     114       3.3059       1.6611
     115       3.2368       1.2506
     116       3.2919       1.7460
     117       3.2282       1.2389
     118       3.3114       1.6242
     119       3.5068       1.2661
     120       3.4697       1.6123
     121       3.2806       1.9578
     122       3.1009       1.7923
     123       3.1421       1.3394
     124       3.0227       1.8951
     125       2.8942       2.0630
     126       3.1367       1.8109
     127       2.9490       1.5080
     128       3.1855       1.4470
     129       2.8885       1.0654
     130       2.7831       0.8560
     131       2.9681       1.0896
     132       2.8678       1.0864
     133       2.9692       1.6667
     134       3.0962       1.5145
     135       3.1559       1.3953
     136       3.0710       1.0242
     137       3.3692       1.3532
     138       3.1432       1.3238
     139       3.3244       1.6553
     140       3.1601       1.1657
     141       3.4594       1.4996
     142       3.2814       1.2233
     143       3.2688       1.4513
     144       3.3288       1.2919
     145       3.0442       1.5616
     146       3.1836       1.7504
     147       3.1905       1.0352
     148       2.9920       1.4962
     149       2.9030       1.4311
     150       3.1733       1.3392
     151       3.1528       1.5212
     152       3.5187       1.8573
     153       3.3623       1.4052
     154       3.3179       1.5180
     155       3.2620       1.2938
     156       3.3130       1.8090
     157       3.3634       1.5279
     158       3.3953       1.8572
     159       3.3996       1.5180
     160       3.3590       1.5176
     161       3.2272       1.7784
     162       3.1545       1.4144
     163       2.8828       1.3069
     164       2.6291       1.5414
     165       2.6581       1.2849
     166       2.5902       1.0752
     167       2.8300       1.5137
     168       3.1741       1.7852
     169       3.2149       1.5564
     170       3.3491       1.6811
     171       3.3602       1.4796
     172       3.1787       1.8769
     173       3.3254       1.1948
     174       3.6459       1.6757
     175       3.7779       1.9804
     176       3.8353       2.1881
     177       3.5521       2.4350
     178       3.5970       1.5059
     179       3.6806       1.9040
     180       3.8122       1.7265
     181       3.9885       1.9856
     182       3.6258       1.3661
     183       3.7855       1.5195
     184       3.7677       1.6031
     185       3.4318       1.3003
     186       3.4963       1.3917
     187       3.4422       1.6707
     188       3.6051       1.9716
     189       3.3791       1.4035
     190       3.6693       1.7467
     191       3.8649       2.3990
     192       3.4124       1.1338
     193       3.3181       1.1396
     194       3.2442       1.1825
     195       3.5577       1.8746
     196       3.6390       1.4259
     197       3.7110       1.4198
     198       3.9417       1.7605
     199       4.0301       1.7152
     200       3.7849       1.4580
     201       3.6257       1.4707
     202       3.6278       1.4441
     203       3.5036       1.0886
     204       3.9743       1.5934
     205       4.0126       1.6255
     206       3.9444       1.4219
     207       4.2222       1.7082
     208       4.1981       1.3409
     209       4.1898       1.4346
     210       4.4931       1.4650
     211       4.3431       1.7301
     212       4.1218       1.0024
     213       4.2755       1.2109
     214       4.2593       1.3828
     215       4.0400       1.6853
     216       4.0907       1.6265
     217       4.1761       1.2149
     218       4.1940       1.8788
     219       3.9333       1.9425
     220       4.0183       1.1596
     221       4.0162       1.0402
     222       3.8858       1.3680
     223       3.9311       1.4079
     224       4.3719       1.5181
     225       4.2815       1.1418
     226       4.3755       1.1669
     227       4.0230       1.3631
     228       4.0021       1.3223
     229       3.9658       1.5761
     230       4.2148       1.3732
     231       4.0611       1.7315
     232       4.0783       1.6824
     233       3.9700       1.3717
     234       3.9693       1.4104
     235       4.0377       1.2084
     236       4.2403       1.3933
     237       4.0411       1.7032
     238       3.9197       2.3836
     239       3.9976       1.8658
     240       3.7384       1.5535
     241       3.4706       1.3024
     242       3.8464       2.3581
     243       3.8301       1.5988
     244       4.0610       1.8140
     245       4.2392       2.3614
     246       3.8179       1.7585
     247       3.6860       1.4051
     248       3.8224       1.5489
     249       3.5534       1.2554
     250       3.5081       1.4008
     251       3.4074       1.3083
     252       3.7373       1.4317
     253       3.6611       1.1502
     254       3.3060       1.0323
     255       3.4461       1.4246
     256       3.5829       1.4063
     257       3.5509       1.3889
     258       3.3934       2.0360
     259       3.5004       1.1491
     260       3.5791       1.1610
     261       3.7595       2.3189
     262       3.5440       2.1749
     263       3.6296       1.9888
     264       3.5939       1.6784
     265       3.9529       1.6678
     266       3.9739       1.0753
     267       4.0397       1.5197
     268       3.9913       1.2751
     269       3.8456       1.1950
     270       3.6357       0.8401
     271       3.7014       1.1512
     272       3.4381       1.0320
     273       3.6519       1.0785
     274       3.5535       0.8155
     275       3.7717       1.3472
     276       3.7025       1.5262
     277       3.8462       1.6297
     278       4.1130       1.3458
     279       4.2233       1.5299
     280       4.1168       1.0556
     281       3.7895       0.9155
     282       3.7568       1.2266
     283       3.8038       1.0549
     284       3.6648       0.3870
     285       3.6373       0.9488
     286       3.6693       0.9130
     287       3.7328       0.8972
     288       3.7022       0.8825
     289       3.7686       0.9212
     290       4.1130       0.8637
     291       3.9615       0.9068
     292       3.9803       0.9335
     293       4.1626       1.2127
     294       3.8634       1.2360
     295       4.2868       1.6939
     296       4.2600       1.4888
     297       3.9418       1.1080
     298       4.0486       1.1748
     299       4.0377       1.4037
     300       3.9538       1.5428
     301       3.9559       0.7594
     302       4.0392       1.5894
     303       3.6695       0.8824
     304       4.0145       1.2355
     305       3.7962       0.9192
     306       3.8302       1.0357
     307       3.8082       0.8082
     308       3.8256       1.0101
     309       3.7927       1.4394
     310       3.8513       1.5672
     311       3.7517       1.2971
     312       3.8584       1.3082
     313       4.1191       1.1590
     314       3.5361       0.5985
     315       3.4120       1.8299
     316       3.5042       1.8533
     317       3.6053       2.0068
     318       3.5078       1.0900
     319       3.5944       1.5681
     320       3.7710       0.8437
     321       3.8107       0.9209
     322       3.9221       0.6344
     323       3.8541       1.3461
     324       3.5456       1.1021
     325       4.2450       0.9975
     326       4.1943       1.5982
     327       4.0230       1.0715
     328       4.0348       1.0905
     329       4.1234       1.0920
     330       4.1911       1.5383
     331       4.5483       1.2454
     332       4.0532       0.9646
     333       4.5238       1.1352
     334       4.3736       1.9139
     335       4.6333       1.6764
     336       4.8207       1.9262
     337       4.4522       2.1203
     338       4.5370       1.7561
     339       4.2383       1.3346
     340       4.3219       1.4905
     341       4.3871       1.0896
     342       4.3802       1.2172
     343       4.3546       1.7734
     344       4.3906       1.2198
     345       4.3907       1.6326
     346       4.4975       1.2686
     347       4.3633       1.1733
     348       4.3438       1.4967
     349       4.2915       1.2562
     350       4.4901       1.7626
     351       4.5646       1.8078
     352       4.0696       1.3577
     353       4.0474       1.4621
     354       4.3469       1.4620
     355       3.9157       1.5038
     356       4.2819       1.9362
     357       4.3393       1.3968
     358       4.0017       1.7193
     359       4.2597       1.9851
     360       4.1800       1.7681
     361       4.0697       1.6272
     362       4.0731       3.0061
     363       4.1627       1.8853
     364       4.0525       2.4113
     365       4.4474       1.6882
     366       4.6153       2.0439
     367       4.5909       1.5054
     368       4.5811       1.1843
     369       4.5191       1.3584
     370       4.3235       1.6259
     371       4.5264       1.4751
     372       4.4155       1.3376
     373       4.1178       1.4936
     374       4.2113       2.1683
     375       3.9238       1.8382
     376       4.0155       1.2999
     377       4.1584       2.5685
     378       4.3902       2.6795
     379       4.3758       1.9457
     380       4.0499       1.7357
     381       4.0214       2.5711
     382       4.1914       2.2605
     383       3.8102       2.5941
     384       3.9895       2.2516
     385       4.0139       2.8900
     386       3.8520       2.4597
     387       3.8646       2.4826
     388       3.6335       1.7816
     389       3.7739       1.7746
     390       3.8872       1.7160
     391       3.8022       2.1089
     392       3.6308       2.3503
     393       3.9094       1.9544
     394       3.8205       1.8682
     395       3.9246       2.5427
     396       4.3528       1.6326
     397       4.4433       1.5288
     398       4.3591       1.2909
     399       4.6178       1.4053
     400       4.4869       1.2534
     401       4.8420       1.0821
     402       5.3885       1.3635
     403       4.7886       1.2713
     404       4.3369       1.1689
     405       4.7339       1.2238
     406       4.7665       1.8264
     407       4.8036       1.5159
     408       4.6407       2.1567
     409       4.7591       2.0800
     410       4.7518       1.6021
     411       5.1584       1.7308
     412       5.1345       1.2033
     413       5.0827       1.2957
     414       5.0196       1.6885
     415       4.6334       1.5823
     416       4.5547       2.0201
     417       4.7568       1.6479
     418       5.0535       1.7364
     419       4.5737       1.2692
     420       4.9034       1.6306
     421       5.1660       1.8470
     422       4.6812       1.7127
     423       4.4724       1.6429
     424       4.5287       1.4477
     425       4.5528       1.3121
