#Frame           SHP2       ligand
       1       0.0000       0.0000
       2       0.1756       0.4743
       3       0.1737       0.7592
       4       0.2796       0.7520
       5       0.2848       0.8418
       6       0.6362       2.8199
       7       0.7168       2.7387
       8       1.1264       2.3940
       9       1.2372       3.0505
      10       1.2795       2.8228
      11       1.1931       3.1382
      12       1.3298       3.2415
      13       1.3058       2.9752
      14       1.2732       3.2785
      15       1.3191       3.5268
      16       1.5172       3.2844
      17       1.5880       3.0867
      18       1.6087       3.0005
      19       1.7922       3.3984
      20       1.4612       3.0486
      21       1.6264       3.3575
      22       1.6963       3.4960
      23       1.6435       3.5158
      24       1.5824       3.0757
      25       1.6921       3.6249
      26       1.6013       3.5303
      27       1.5161       3.3663
      28       1.5321       3.3727
      29       1.9002       3.7881
      30       2.1470       3.8528
      31       1.7914       3.2655
      32       1.8451       3.5031
      33       1.7842       3.3129
      34       1.7748       3.5511
      35       1.6351       2.9941
      36       1.6238       3.3525
      37       1.5366       3.0176
      38       1.7028       3.1225
      39       1.7013       3.4240
      40       1.5947       3.2221
      41       1.5874       3.4133
      42       1.9155       3.3499
      43       1.7453       3.2999
      44       1.7839       3.3235
      45       1.8826       3.5513
      46       1.8052       3.6728
      47       1.7827       3.3486
      48       1.8052       3.9845
      49       1.9117       3.3463
      50       2.1023       3.6724
      51       2.0909       3.9807
      52       2.2892       3.5433
      53       2.1436       3.7428
      54       2.1510       3.6653
      55       2.5516       3.6553
      56       2.7766       4.4445
      57       2.6884       4.2804
      58       2.4812       3.7818
      59       2.5692       4.0128
      60       2.5027       3.8835
      61       2.5874       3.8323
      62       2.2885       4.4247
      63       2.4264       3.3512
      64       2.7022       4.1670
      65       2.8170       4.1483
      66       3.1615       3.9765
      67       3.2315       4.1580
      68       3.3082       4.7985
      69       3.4950       4.4673
      70       3.2959       4.6669
      71       3.1810       4.2094
      72       3.1164       4.3250
      73       2.8475       4.3113
      74       2.7419       4.4977
      75       2.4197       3.7591
      76       2.3098       3.8642
      77       2.6676       3.7745
      78       2.6329       3.7733
      79       2.6147       3.6749
      80       2.7477       3.6404
      81       2.6426       3.4598
      82       2.6906       3.8666
      83       3.0853       4.1066
      84       3.2365       3.8703
      85       3.2192       4.4526
      86       2.9493       4.4022
      87       3.0462       4.2762
      88       3.1648       4.6669
      89       3.0128       5.1596
      90       3.2396       4.6589
      91       3.4513       4.5560
      92       3.3336       4.7062
      93       2.9561       4.4715
      94       3.6364       4.8591
      95       3.8322       4.8045
      96       3.9334       4.7076
      97       3.6035       4.3636
      98       3.1617       3.9310
      99       2.8634       3.2928
     100       3.2447       4.0625
     101       3.2574       4.2019
     102       2.9726       4.2977
     103       2.8376       4.0698
     104       2.6123       3.8691
     105       2.8351       3.6724
     106       3.2503       3.6332
     107       3.2518       4.3636
     108       3.8308       4.7304
     109       3.5373       4.4580
     110       3.3095       4.3183
     111       3.2839       4.3199
     112       3.4017       3.8986
     113       2.6875       3.8901
     114       2.5342       2.9975
     115       2.5976       3.8620
     116       2.9436       3.0908
     117       2.7705       3.1327
     118       2.7626       3.6623
     119       2.7542       3.6386
     120       2.9391       3.5773
     121       2.9802       3.7415
     122       2.8083       4.0014
     123       2.5568       3.3559
     124       2.5232       3.7775
     125       2.6737       3.6758
     126       2.5481       3.6394
     127       2.6380       3.6846
     128       2.6162       3.3696
     129       2.6437       3.4304
     130       2.8696       3.3882
     131       2.5847       3.2847
     132       2.6683       3.4340
     133       2.6137       3.5661
     134       2.9356       3.6426
     135       2.6603       3.7811
     136       2.6971       3.4755
     137       2.9423       3.5104
