#Frame           SHP2       ligand
       1       0.0000       0.0000
       2       0.0806       0.1777
       3       0.1669       0.4515
       4       0.2701       0.3108
       5       0.7257       0.9118
       6       1.2672       0.9531
       7       1.3111       0.9657
       8       1.3158       0.9887
       9       1.4080       1.0062
      10       1.4293       1.3041
      11       1.5051       0.9454
      12       1.3447       1.0340
      13       1.6749       0.8225
      14       1.5982       0.6217
      15       1.5734       0.4365
      16       1.5962       0.6768
      17       1.4837       0.5072
      18       1.7049       0.5108
      19       1.6327       0.5762
      20       1.6919       0.5928
      21       1.7986       0.6725
      22       1.7165       0.6268
      23       1.6932       0.8998
      24       1.6241       0.5689
      25       1.9791       0.5586
