#Frame           SHP2       ligand
       1       0.0000       0.0000
       2       0.0597       0.1137
       3       0.1542       0.5849
       4       0.2570       0.4501
       5       0.7380       0.6895
       6       1.4227       1.3945
       7       1.2420       1.2855
       8       1.4716       0.9025
       9       1.6913       0.7956
      10       1.7142       1.0010
      11       1.8289       1.0660
      12       2.0790       1.2120
      13       2.0983       1.2978
      14       1.9726       0.5076
      15       1.8619       0.5390
      16       2.0997       0.8969
      17       1.9312       0.7880
      18       2.0316       0.6170
      19       1.9062       0.6562
      20       1.8977       0.7368
      21       2.0318       0.8006
      22       2.2823       0.6012
      23       2.1946       0.7841
      24       2.1956       0.7525
      25       2.3428       0.7914
