#Frame           SHP2       ligand
       1       0.0000       0.0000
       2       0.0806       0.1777
       3       0.1753       0.5203
       4       0.2754       0.3375
       5       0.7341       0.4778
       6       1.2017       1.1625
       7       1.4600       1.0455
       8       1.2823       1.2195
       9       1.3042       1.2276
      10       1.3522       1.6802
      11       1.4925       0.4847
      12       2.0130       1.1088
      13       2.0705       0.8397
      14       2.4505       1.1474
      15       2.5920       0.7034
      16       2.4698       0.7260
      17       2.3945       1.2720
      18       2.5357       0.8552
      19       2.3825       1.3390
      20       2.8282       0.8202
      21       2.7670       0.6177
      22       3.0276       0.5371
      23       3.1014       1.1646
      24       3.0961       1.1876
      25       3.2446       0.5505
