#Frame           SHP2       ligand
       1       0.0000       0.0000
       2       0.0597       0.1137
       3       0.1516       0.5540
       4       0.2823       0.3791
       5       0.7584       0.5163
       6       1.1283       0.7328
       7       1.2349       1.1841
       8       1.4261       1.0469
       9       1.5981       1.0266
      10       2.0844       1.2742
      11       1.8909       0.8558
      12       1.8123       0.8734
      13       1.9600       0.5499
      14       1.9934       1.0932
      15       2.1479       0.8942
      16       1.9957       0.7025
      17       2.1246       0.8773
      18       2.0875       0.9795
      19       1.9195       1.0449
      20       2.0275       0.9877
      21       2.0652       0.6834
      22       1.8883       0.8028
      23       1.8999       0.8366
      24       1.8125       1.0006
      25       2.0925       0.8777
