#Frame           SHP2       ligand
       1       0.0000       0.0000
       2       0.1730       0.3897
       3       0.1813       0.4632
       4       0.2949       0.3261
       5       0.2881       0.4517
       6       0.6200       0.4438
       7       0.6608       0.4009
       8       1.0749       0.4159
       9       1.1680       0.3916
      10       1.2562       0.4641
      11       1.1757       0.7567
      12       1.1409       0.7087
      13       1.1189       0.5571
      14       1.2318       0.7321
      15       1.0790       0.7334
      16       1.3590       0.4426
      17       1.1837       0.3558
      18       1.3426       0.8167
      19       1.4139       0.7295
      20       1.2629       0.4716
      21       1.4275       0.6642
      22       1.4603       0.4408
      23       1.6688       0.6984
      24       1.5495       1.2755
      25       1.6076       1.1327
      26       1.5375       0.6380
      27       1.5502       1.1512
      28       1.4404       0.6906
      29       1.5387       0.8975
      30       1.4914       0.6798
      31       1.3178       0.5942
      32       1.5692       0.6411
      33       1.7349       0.7412
      34       1.5006       0.5012
      35       1.7528       0.4544
      36       1.5802       0.6535
      37       1.6647       0.8327
      38       1.7034       0.6335
      39       1.5125       0.4772
      40       1.4340       0.3953
      41       1.7282       0.8339
      42       1.8251       1.1954
      43       1.6135       1.1982
      44       1.5753       1.1384
      45       1.5826       0.6022
      46       1.6189       1.2883
      47       1.5734       1.1190
      48       1.8297       1.0899
      49       1.7353       1.2820
      50       1.6387       1.0872
      51       1.7128       0.4332
      52       1.6616       0.7351
      53       1.6814       0.7679
      54       1.6591       0.7526
      55       1.6164       0.6214
      56       1.6641       0.4716
      57       1.8143       1.0767
      58       1.8310       1.1356
      59       1.8586       0.9201
      60       1.6929       1.1837
      61       1.7455       1.8477
      62       1.6868       1.6929
      63       1.6376       1.5022
      64       1.8648       1.1185
      65       2.0162       0.7887
      66       2.0540       1.1634
      67       1.9434       1.1621
      68       2.0537       1.3816
      69       1.9430       1.2246
      70       2.1259       1.0544
      71       2.3192       0.9440
      72       1.9750       1.1027
      73       1.9611       1.5268
      74       2.1023       0.9282
      75       2.2214       0.8788
      76       1.9995       1.4669
      77       1.8950       1.6721
      78       1.8390       1.8351
      79       1.8632       2.1618
      80       1.9543       2.3006
      81       1.8303       2.2485
      82       1.7369       2.2072
      83       2.0134       2.2831
      84       1.8077       2.3180
      85       1.8028       1.8484
      86       1.8649       1.6274
      87       1.9117       2.3964
      88       2.0005       1.7484
      89       2.0223       2.2223
      90       2.1745       2.3551
      91       1.9650       2.2626
      92       2.0137       2.1783
      93       2.2628       2.9447
      94       2.5092       2.9046
      95       2.2779       2.7871
      96       2.1505       2.9301
      97       1.9737       1.9793
      98       1.8571       1.4957
      99       2.0179       1.2236
     100       2.0633       1.6194
     101       2.0260       2.1108
     102       1.9984       2.3315
     103       2.2102       2.7793
