#Frame           SHP2       ligand
       1       0.0000       0.0000
       2       0.0597       0.1137
       3       0.1553       0.4188
       4       0.2716       0.4103
       5       0.8149       0.6842
       6       1.4082       0.9751
       7       1.5815       1.1332
       8       1.6906       0.9771
       9       1.5480       1.0534
      10       1.6254       1.2856
      11       1.7296       0.9074
      12       2.0047       0.6427
      13       1.9218       1.0050
      14       1.8641       1.0898
      15       2.2440       1.5860
      16       2.0977       1.4081
      17       2.2871       1.8385
      18       2.1277       0.8281
      19       2.0442       1.1036
      20       1.9533       0.8750
      21       2.3642       1.2381
      22       2.4811       2.1622
      23       2.1201       1.4703
      24       2.0923       0.9374
      25       1.8838       0.8706
