#Frame           SHP2       ligand
       1       0.0000       0.0000
       2       0.0961       0.1377
       3       0.1793       0.6295
       4       0.2975       0.4778
       5       0.8594       0.8109
       6       1.5794       0.9243
       7       1.9933       0.8749
       8       1.9319       0.7796
       9       1.6542       1.1267
      10       1.7118       0.7300
      11       1.8711       0.6978
      12       1.7030       1.2420
      13       1.7388       1.2871
      14       1.9129       1.1403
      15       1.8795       1.5051
      16       1.9811       1.2717
      17       2.0543       1.9083
      18       2.1442       1.7136
      19       1.9935       1.0975
      20       1.9878       1.6464
      21       2.6761       2.3754
      22       2.4205       2.4770
      23       2.3352       2.3956
      24       2.2726       1.7943
      25       2.2494       1.7225
