#Frame           SHP2       ligand
       1       0.0000       0.0000
       2       0.0597       0.1137
       3       0.1608       0.5111
       4       0.2724       0.4206
       5       0.7658       0.7180
       6       1.2197       1.1819
       7       1.5440       1.4396
       8       1.4862       1.5893
       9       1.3894       1.4260
      10       1.5682       1.4538
      11       1.7470       1.5976
      12       1.4971       1.0203
      13       1.5919       1.4410
      14       1.6494       0.9861
      15       1.7622       1.0866
      16       1.7474       1.1499
      17       1.9102       1.4273
      18       1.7738       1.4551
      19       1.7993       1.5461
      20       1.7378       1.3657
      21       1.7145       1.2310
      22       2.0456       1.9927
      23       1.9397       1.7980
      24       1.8410       0.9008
      25       1.9419       0.8521
