#Frame           SHP2       ligand
       1       0.0000       0.0000
       2       0.1793       0.4987
       3       0.1787       0.6045
       4       0.2846       0.5166
       5       0.2851       0.4604
       6       0.6533       1.0783
       7       0.6514       0.6475
       8       0.8784       0.6792
       9       1.1945       0.9594
      10       1.2504       0.7628
      11       1.2490       0.9706
      12       1.0962       0.5582
      13       1.0611       0.5454
      14       1.1404       0.5911
      15       1.1018       0.6036
      16       1.0734       0.6717
      17       1.0513       0.6898
      18       1.2001       0.9028
      19       1.3951       0.9151
      20       1.2575       0.8580
      21       1.4088       1.0057
      22       1.3969       1.2998
      23       1.1622       1.2022
      24       1.1212       0.7176
      25       1.3781       1.1039
      26       1.3239       0.8056
      27       1.2019       0.7039
      28       1.3956       0.6257
      29       1.3630       0.5415
      30       1.6885       0.8184
      31       1.6393       0.8607
      32       1.4139       0.7761
      33       1.5177       0.6408
      34       1.4701       0.7178
      35       1.4096       0.5550
      36       1.4923       0.5199
      37       1.4603       0.6163
      38       1.5094       0.6587
      39       1.5815       0.5906
      40       1.4099       0.8147
      41       1.5945       0.7643
      42       1.4681       0.8551
      43       1.3316       0.4801
      44       1.3531       0.7853
      45       1.3832       0.5985
      46       1.4187       0.7608
      47       1.3487       0.6439
      48       1.4477       0.5599
      49       1.2878       0.6824
      50       1.4674       0.8997
      51       1.3813       0.7513
      52       1.3928       0.7032
      53       1.3612       0.3864
      54       1.4046       0.9203
      55       1.2121       0.4852
      56       1.3686       0.5618
      57       1.4601       0.5558
      58       1.3559       0.6717
      59       1.3588       0.9969
      60       1.6516       0.5424
      61       1.6300       0.7700
      62       1.5983       0.8169
      63       1.6038       0.6493
      64       1.5488       1.0892
      65       1.4246       1.2813
      66       1.7465       1.6276
      67       1.4886       0.9124
      68       1.4832       1.4993
      69       1.4732       1.1499
      70       1.4608       1.1033
      71       1.3235       0.7526
      72       1.4798       0.9122
      73       1.5693       1.5976
      74       1.6927       0.9227
      75       1.6638       0.9419
      76       1.7609       1.0710
      77       1.5253       1.1288
      78       1.6796       1.2731
      79       1.7188       1.3930
      80       1.9791       1.5861
      81       1.8893       0.8350
      82       1.4557       0.9806
      83       1.7169       1.0518
      84       1.5126       0.8784
      85       1.5636       0.8215
      86       1.6959       1.2366
      87       1.8567       1.6546
      88       1.8018       2.4426
      89       1.6794       1.8548
      90       1.7882       2.2609
      91       1.6237       1.0206
      92       1.4523       0.8434
      93       1.6501       0.6176
      94       1.4724       0.6459
      95       1.4508       0.8473
      96       1.6132       0.7185
      97       1.8163       1.1106
      98       1.8234       1.2061
      99       1.7680       1.0670
     100       2.0818       1.4429
     101       1.9518       0.9444
     102       1.6526       1.0284
     103       1.6649       1.1959
     104       1.8768       1.1497
     105       1.8394       0.7075
     106       1.5430       0.9159
     107       1.7365       0.6886
     108       1.5807       0.8254
     109       1.8263       1.1177
     110       1.6710       0.5375
     111       1.6589       0.4996
     112       1.4886       0.7792
     113       1.4892       0.7668
     114       1.6218       1.1015
     115       1.6787       0.8432
     116       1.6074       0.9214
     117       1.6614       0.6005
     118       1.5914       0.6673
     119       1.8281       0.8345
     120       1.7526       0.5880
     121       2.4735       1.2488
     122       2.2756       1.1730
     123       2.1462       1.6797
     124       1.9306       1.7610
     125       2.0046       1.7523
     126       1.7675       1.2599
     127       2.0676       0.7668
     128       2.3136       1.7645
     129       2.1336       1.5042
     130       2.0714       1.7489
     131       2.1362       1.6670
     132       2.2670       1.8928
     133       2.2646       1.1481
     134       2.2415       2.0259
     135       2.4131       2.1881
     136       2.3402       1.6305
     137       2.4017       1.3143
     138       2.2952       1.3631
     139       2.1000       1.1823
     140       2.2167       1.5246
     141       2.0253       1.7784
     142       2.1511       1.6492
     143       1.9712       1.9056
     144       2.0701       1.5497
     145       1.9816       0.8825
     146       1.9451       0.9526
     147       1.8065       1.3856
     148       1.9188       1.1045
     149       2.1063       0.9786
     150       2.2257       2.0241
     151       2.0861       1.6557
     152       2.0290       1.2363
     153       1.9605       0.8558
     154       2.0259       0.6861
     155       2.0047       1.3101
     156       1.9607       1.0708
     157       2.0035       1.5467
     158       1.8920       1.4982
     159       2.0386       1.6826
     160       1.9748       1.2642
     161       2.0616       1.9851
     162       2.1083       1.9119
     163       2.3041       2.3927
     164       2.2854       2.7288
     165       2.2409       2.1256
     166       2.0702       0.6204
     167       2.4029       1.1149
     168       2.3360       1.5354
     169       2.6515       2.9165
     170       2.6324       2.7590
     171       2.4474       1.8134
     172       2.2032       1.3612
     173       2.5205       1.4045
     174       2.5405       1.9517
     175       2.3663       1.2784
     176       2.4801       1.4147
     177       2.5676       2.0723
     178       2.4342       0.9890
     179       2.4412       1.8548
     180       2.3569       1.8214
     181       2.4040       1.3666
     182       2.4019       1.4117
     183       2.5132       2.7623
     184       2.9391       3.1909
     185       2.8039       2.0973
     186       2.7638       1.5842
     187       2.7353       1.7523
     188       2.7670       1.4423
     189       2.7037       2.0066
     190       2.6055       1.7072
     191       2.4608       1.6512
     192       2.4694       1.7255
     193       2.6845       1.6607
     194       2.4859       1.6398
     195       2.5806       1.8658
     196       2.3720       1.1683
     197       2.4991       1.7285
     198       2.5147       1.6714
     199       2.3958       0.9130
     200       2.8131       1.3639
     201       2.6811       1.3880
     202       2.5026       1.3418
     203       2.9920       2.0689
     204       3.1802       1.4837
     205       3.2487       1.7866
     206       2.7742       1.9443
     207       2.9823       1.7599
     208       2.8759       1.3346
     209       2.9623       1.8983
     210       2.9126       1.2733
     211       3.0445       2.2084
     212       3.1158       2.3365
     213       2.8288       2.0989
     214       2.9774       2.0617
     215       2.7593       2.1140
     216       2.5515       1.4078
     217       2.6277       1.8711
     218       2.9235       2.4123
     219       2.9939       2.5970
     220       2.8768       1.9316
     221       3.0528       1.6750
     222       3.0411       1.4313
     223       3.0384       2.5195
     224       2.8660       2.5793
     225       2.6434       1.8003
     226       2.7228       1.2331
     227       2.4098       1.0300
     228       2.7364       1.3455
     229       2.7057       2.0369
     230       2.5441       1.4761
     231       2.7619       1.7424
     232       2.7044       1.8016
     233       2.8027       1.5955
     234       3.0534       1.8672
     235       2.9871       1.2378
     236       3.4705       1.3436
     237       2.8597       2.2341
     238       3.1514       2.5140
     239       3.1542       2.8676
     240       3.0703       2.4661
     241       3.1367       1.7835
     242       3.2325       1.6787
     243       3.1764       2.2099
     244       3.0948       2.2316
     245       3.0207       2.3760
     246       3.0131       2.5057
     247       3.3712       2.3149
     248       3.4049       3.3000
     249       3.1544       2.3079
     250       3.2902       1.8050
     251       3.1283       2.1581
     252       3.2019       1.8312
     253       3.2423       2.1937
     254       3.5290       2.5496
     255       3.7880       2.3735
     256       3.6765       1.6341
     257       3.4649       1.1419
     258       3.3953       1.8350
     259       3.2754       1.9024
     260       3.6698       1.2136
     261       3.4940       1.8390
     262       3.1122       1.8756
     263       3.1317       1.4698
     264       3.1757       2.0595
     265       2.9982       1.5255
     266       2.8246       1.8782
     267       3.0070       1.7205
     268       3.1662       1.5637
     269       3.1211       2.3117
     270       3.4782       2.1963
     271       3.6274       2.0388
     272       3.3974       2.1708
     273       3.4375       2.4008
     274       3.3303       1.9001
     275       3.4310       1.6917
     276       3.3436       1.7022
     277       3.3680       2.1250
     278       3.1027       1.5246
     279       3.4254       1.8700
     280       3.6620       2.1177
     281       3.4576       1.9013
     282       3.5373       2.4264
     283       3.4922       1.6474
     284       3.5388       1.3366
     285       3.5236       1.9396
     286       3.4903       1.6718
     287       3.5038       2.5461
     288       3.3405       1.4600
     289       3.6866       2.2281
     290       3.8035       2.0379
     291       3.7828       1.8404
     292       3.4612       1.7574
     293       3.3795       2.1038
     294       3.6595       2.3693
     295       3.7568       2.4737
     296       3.5706       1.9897
     297       3.3945       1.8965
     298       3.5234       2.2721
     299       3.2609       1.1514
     300       3.4033       2.1148
     301       3.1556       1.7528
     302       3.2657       1.3770
     303       3.6378       2.5508
     304       3.6780       2.1479
     305       3.6111       2.2627
     306       3.8005       1.3320
     307       3.7450       2.0208
     308       3.9357       2.2449
     309       3.8875       1.9164
     310       3.9597       1.9566
     311       3.7185       2.1725
     312       3.7984       2.0968
     313       3.7067       2.2589
     314       3.6885       2.2420
     315       3.6143       2.0679
     316       3.5567       2.4915
     317       3.8127       1.8417
     318       3.4833       1.0669
     319       3.4313       1.1628
     320       3.5719       1.4768
     321       3.5353       1.4933
     322       3.7722       1.7897
     323       3.7725       2.3167
     324       4.0439       2.0206
     325       3.9263       2.0503
     326       4.0723       2.1082
     327       3.9588       1.9095
     328       4.0268       2.1285
     329       4.2261       1.5917
     330       4.2227       1.8633
     331       4.0487       1.4771
     332       3.9879       1.5741
     333       4.0950       1.7235
     334       3.9825       1.4212
     335       3.9804       2.1350
     336       3.8856       1.5403
     337       4.2376       1.8840
     338       3.8019       1.6876
     339       4.2193       2.2414
     340       4.2568       2.7975
     341       4.3581       2.2681
     342       4.0695       2.5807
     343       4.0504       1.7604
     344       4.1575       2.0531
     345       4.1368       2.7557
     346       4.1226       2.3008
     347       4.0596       2.6314
     348       3.9591       1.6919
     349       3.8854       1.8353
     350       3.8985       2.4833
     351       4.1903       2.0073
     352       3.9822       2.8022
     353       4.1202       3.0025
     354       4.0106       2.7326
     355       4.1605       3.1277
     356       4.1864       3.1736
     357       4.2601       2.1668
     358       4.1170       2.6269
     359       4.1459       2.6275
     360       4.2199       2.6313
     361       4.1642       2.3770
     362       4.0362       2.1558
     363       4.2665       2.1962
     364       4.2975       2.8097
     365       4.3379       2.4860
     366       4.2230       2.4155
     367       3.7536       0.9285
     368       4.0625       1.6716
     369       4.1651       1.8418
     370       4.4856       1.9456
     371       4.5930       1.6328
     372       4.5311       1.6757
     373       4.1952       1.8033
     374       4.5753       3.2146
     375       4.4758       2.4531
     376       4.0110       1.7693
     377       4.1848       1.1790
     378       4.2926       2.2011
     379       4.0976       1.9541
     380       4.4107       1.6802
     381       4.3675       2.3162
     382       4.6790       1.9651
     383       4.5490       2.2127
     384       4.2562       2.6199
     385       4.1041       2.3066
     386       3.8029       1.7999
     387       4.2195       2.1027
     388       3.8574       1.9162
     389       3.9748       1.8124
     390       3.9092       2.3255
     391       3.7516       1.9633
     392       3.5304       0.9933
     393       4.1109       1.7430
     394       3.9254       1.5083
     395       4.1693       1.4103
     396       3.9776       2.1472
     397       4.0648       1.7439
     398       3.8111       1.6332
     399       4.1689       2.1208
     400       4.1724       2.3972
     401       4.7633       2.2886
     402       4.3200       2.1516
     403       4.4341       1.6626
     404       4.5714       2.1046
     405       4.4664       1.5173
     406       4.0135       1.2654
     407       4.0097       1.3380
     408       4.2128       1.7661
     409       4.1907       1.5072
     410       4.0761       1.8197
     411       4.0860       2.8743
     412       4.0601       1.3319
     413       4.0573       1.7536
     414       4.3161       2.6874
     415       3.9694       1.8356
     416       4.4844       2.3298
     417       4.0976       1.1263
     418       4.2609       2.4650
     419       3.7627       2.2879
     420       3.6718       1.2300
     421       3.4230       1.3930
     422       3.7751       1.3292
     423       3.6889       1.6821
     424       3.8733       2.1116
     425       3.8810       2.2119
     426       3.7914       2.7338
     427       3.6179       2.3359
     428       3.5695       2.7398
     429       3.6582       2.5430
     430       3.5915       1.7750
     431       3.5713       2.6563
     432       3.7436       1.5117
     433       3.6036       1.7597
     434       3.5208       1.7348
     435       3.4936       0.8704
     436       3.5135       0.8513
     437       3.5167       1.7414
     438       3.6508       2.3063
     439       3.6971       2.3575
     440       3.5264       2.6240
     441       3.8353       2.2666
     442       4.1050       2.3472
     443       3.8851       1.4436
     444       3.5140       1.2209
     445       3.6055       1.5988
     446       3.3556       1.8072
     447       3.3025       1.3626
     448       3.4802       2.6918
     449       3.1429       1.2064
     450       3.3249       0.9894
     451       3.2572       1.5526
     452       3.1551       2.1116
     453       3.3175       2.2481
     454       3.2802       1.5346
     455       3.2796       1.3769
     456       3.4645       1.1835
     457       3.3497       1.5950
     458       3.3338       1.8570
     459       3.2013       2.0331
     460       3.4555       1.4095
     461       3.2178       2.0753
     462       3.5017       2.4772
     463       3.3617       1.8865
     464       3.1969       1.7465
     465       3.3976       1.9674
     466       3.3038       1.0509
     467       3.3093       1.0616
     468       3.6621       2.0116
     469       3.8595       1.8089
     470       3.5692       1.3752
     471       3.4119       1.7039
     472       3.4923       0.8180
     473       3.7114       1.8116
     474       3.6054       2.8247
     475       3.4845       2.2955
     476       3.5047       2.1261
     477       3.6157       1.0196
     478       3.7706       1.7505
     479       3.3686       2.5090
     480       3.1514       2.2499
     481       3.6613       3.1601
     482       3.1795       2.3737
     483       3.1332       2.8879
     484       3.1476       2.0922
     485       3.3070       2.1149
     486       3.6207       1.9480
     487       3.1613       1.4782
     488       3.3242       2.5280
     489       3.2473       2.3292
     490       3.5469       1.6412
     491       3.7961       1.7519
     492       3.5714       1.6667
     493       3.3620       2.0249
     494       3.2068       1.9998
     495       3.3584       1.3520
     496       3.6393       1.4657
     497       3.3697       1.6454
     498       3.3890       1.5521
     499       3.5581       1.9771
     500       3.7636       2.0495
     501       3.8068       1.8118
     502       3.2406       1.7034
     503       3.5505       1.4236
     504       3.2961       1.7715
     505       3.2995       1.3940
     506       3.7807       1.4431
     507       3.8843       2.1857
