#Frame           SHP2       ligand
       1       0.0000       0.0000
       2       0.0597       0.1260
       3       0.1545       0.5290
       4       0.2652       0.4920
       5       0.6824       0.2720
       6       1.8145       1.2798
       7       1.9298       1.0140
       8       2.1727       1.8034
       9       1.9732       1.4349
      10       1.8683       2.1508
      11       2.2220       1.8751
      12       2.2695       2.5332
      13       2.4517       1.9695
      14       2.2349       1.9099
      15       2.3427       2.6241
      16       2.2060       2.3096
      17       2.0985       2.3605
      18       1.9645       2.6222
      19       1.7783       1.7300
      20       1.8514       2.1000
      21       1.9415       1.6619
      22       2.2062       2.0866
      23       2.0657       2.0867
      24       1.8306       1.2563
      25       1.8918       1.4552
