#Frame           SHP2       ligand
       1       0.0000       0.0000
       2       0.0801       0.1443
       3       0.1700       0.4571
       4       0.2870       0.6277
       5       0.6991       1.1320
       6       1.2461       2.9668
       7       1.4736       1.5636
       8       1.6064       1.1630
       9       1.5898       1.4924
      10       1.6230       1.6885
      11       1.6050       1.0364
      12       1.5627       1.2961
      13       1.5912       1.2552
      14       1.7524       0.8028
      15       1.5747       1.0830
      16       1.7182       0.6264
      17       1.7049       0.5374
      18       1.6957       0.8061
      19       1.8513       1.2875
      20       1.5960       0.4485
      21       1.7195       0.8160
      22       1.6616       0.9600
      23       1.9025       0.8212
      24       1.9586       0.5097
      25       1.6930       1.0037
