#Frame           SHP2       ligand
       1       0.0000       0.0000
       2       0.1765       0.6018
       3       0.1742       0.6729
       4       0.2960       0.7389
       5       0.2765       0.5411
       6       0.6996       1.3737
       7       0.7624       1.7136
       8       1.1438       1.4415
       9       0.9792       1.1879
      10       1.0905       2.5933
      11       1.0380       3.0147
      12       1.2187       3.0387
      13       1.3999       3.1304
      14       1.4970       2.8593
      15       1.5760       2.5672
      16       1.6996       3.2505
      17       1.8049       3.2873
      18       1.6376       2.9250
      19       2.1174       3.0310
      20       1.7419       2.9028
      21       1.9528       2.8923
      22       1.7218       3.0479
      23       1.7693       2.7185
      24       1.8377       2.6021
      25       1.7778       2.8370
      26       1.6638       2.9060
      27       1.7368       2.8474
      28       1.8082       2.8651
      29       1.6167       3.1687
      30       1.6525       3.4955
      31       1.6742       2.9069
      32       1.8043       3.3134
      33       2.0158       3.0515
      34       1.6902       2.8295
      35       1.8143       2.8263
      36       1.6914       2.9689
      37       1.9241       2.8156
      38       1.8377       2.6647
      39       2.1439       2.8140
      40       2.2066       3.1139
      41       2.2629       3.1381
      42       2.4447       3.4249
      43       2.1358       3.4087
      44       2.0600       2.9580
      45       1.9813       2.6586
      46       2.0006       3.0823
      47       2.0377       3.0925
      48       2.0884       2.8169
      49       1.9915       3.0881
      50       1.9006       3.0775
      51       1.9526       2.9524
      52       2.0166       2.6301
      53       1.9049       2.7947
      54       1.9694       2.4446
      55       1.9346       3.0061
      56       2.0307       2.8693
      57       2.0511       2.8350
      58       2.0444       2.8992
      59       2.0647       2.8862
      60       2.3596       3.0637
      61       1.9981       3.0194
      62       2.1283       3.5080
      63       1.9004       3.3221
      64       1.8941       3.2221
      65       2.2417       3.1143
      66       2.1914       3.3376
      67       2.0234       2.9494
      68       1.8915       2.8825
      69       1.7541       3.1093
      70       1.8891       3.1037
      71       1.9753       2.8943
      72       2.1962       2.9446
      73       2.1218       2.8429
      74       2.0153       2.5093
      75       2.1075       2.6069
      76       2.3013       2.9570
      77       2.2004       2.3107
      78       2.1799       3.0437
      79       2.3218       2.7541
      80       2.2786       2.7766
      81       1.9349       2.7804
      82       2.1393       3.1393
      83       2.1788       2.9916
      84       2.2872       3.3787
      85       2.1268       2.8243
      86       2.2576       3.0755
      87       2.0476       3.1016
      88       2.2468       3.3119
      89       2.3511       3.1231
      90       2.3061       3.4331
      91       2.3790       3.5104
      92       2.0864       2.8761
      93       2.3182       2.9017
      94       2.5463       3.6601
      95       2.4712       3.5175
      96       2.3964       3.6531
      97       2.6872       4.2732
      98       2.2543       3.2735
      99       2.3305       3.2558
     100       2.6982       3.5278
     101       2.7571       3.5581
     102       2.7197       3.5357
     103       2.9039       2.8386
     104       3.0790       3.6434
     105       3.0999       3.1842
     106       3.0870       3.3495
     107       3.0222       3.1286
     108       2.9677       3.6123
     109       2.9053       3.1045
     110       2.7009       3.4669
     111       2.9548       3.6268
     112       2.8172       3.7994
     113       2.7501       3.3413
     114       2.9226       3.7886
     115       3.1077       3.5828
     116       3.1259       3.7084
     117       3.1559       3.5700
     118       3.1017       3.2307
     119       2.9752       3.4761
     120       3.1795       3.1864
     121       2.7575       3.4687
     122       3.1270       3.6171
     123       3.1923       3.6999
     124       3.1249       3.3564
     125       3.3438       3.6684
     126       3.1838       3.8726
     127       3.0359       4.0403
     128       3.0004       3.3318
     129       2.7149       3.4629
     130       2.8408       2.9738
     131       2.8012       3.1796
     132       2.9893       2.7083
     133       2.9860       2.3410
     134       3.0060       2.6335
     135       2.9739       2.5322
     136       3.1305       2.6511
     137       3.0950       2.9722
     138       3.0474       2.9232
     139       2.9206       2.9268
     140       2.9292       2.7315
     141       2.8239       2.8196
     142       2.7686       2.8012
     143       2.5843       2.7693
     144       2.8677       3.2956
     145       2.7862       2.7948
     146       2.7841       2.8885
     147       2.8963       2.7857
     148       2.9343       2.7993
     149       2.9011       3.0898
     150       2.9214       2.9941
     151       3.4832       2.9519
     152       3.1861       3.4046
     153       2.9099       3.3629
     154       3.1179       3.0430
     155       2.9121       3.0495
     156       2.7623       3.5764
     157       2.9221       3.1290
     158       2.7791       3.1655
     159       2.8462       3.0303
     160       2.8855       3.1367
     161       2.8394       3.3307
     162       2.8978       3.1145
     163       2.8565       3.0668
     164       3.0542       3.0287
     165       3.2528       3.3244
     166       3.2212       3.2362
     167       2.9359       3.0632
     168       2.9364       3.2301
     169       2.7068       3.0498
     170       3.0366       3.3691
     171       2.8651       2.7267
     172       2.9853       3.2061
     173       2.8876       2.9255
     174       3.1379       3.1519
     175       2.9440       3.2254
     176       2.6697       2.6309
     177       2.7833       3.0046
     178       2.8174       3.2821
     179       3.0692       3.2904
     180       3.2120       2.9946
     181       3.1754       3.3843
     182       3.0996       3.6418
     183       2.8280       3.4509
     184       2.9232       3.4682
     185       3.0513       3.0889
     186       2.8094       3.3750
     187       2.9830       3.3003
     188       2.8364       3.1052
     189       2.9151       3.7765
     190       2.7395       3.5481
     191       2.8395       3.6383
     192       2.7269       3.5941
     193       2.9315       3.3978
     194       3.0848       3.5716
     195       3.0654       3.4181
     196       3.5284       3.2573
     197       3.3428       3.5989
     198       3.2618       3.6726
     199       3.6031       3.8826
     200       3.2732       3.5625
     201       3.3123       3.3627
     202       2.9478       3.0616
     203       2.9251       3.2011
     204       2.9399       3.1297
     205       3.0591       3.2728
     206       2.9863       3.0428
     207       2.7469       3.3195
     208       3.0119       3.0340
     209       3.1207       3.3146
     210       2.7210       3.3861
     211       3.1252       3.3281
     212       3.1938       3.4326
     213       3.2087       3.3648
     214       3.0980       3.1719
     215       3.2033       2.7666
     216       2.9756       3.5269
     217       3.0401       3.5875
     218       3.3523       3.6906
     219       3.6614       3.9637
     220       3.2145       3.5858
     221       3.5316       3.9127
     222       3.7161       3.6449
     223       3.8123       3.6753
     224       4.0757       4.0301
     225       4.0607       3.9914
     226       3.7890       3.3905
     227       3.8116       3.3023
     228       3.8879       3.3681
     229       3.9099       3.8764
     230       3.6420       3.6239
     231       3.7155       3.5048
     232       3.8091       3.8682
     233       3.9869       3.7907
     234       3.9240       3.2814
     235       3.5154       3.8399
     236       3.9804       3.8495
     237       3.7506       3.3908
     238       3.7953       3.3985
     239       3.6625       3.7252
     240       3.6416       3.4806
     241       3.6370       3.4083
     242       3.6256       3.5376
     243       3.3397       3.9517
     244       3.3234       3.3799
     245       3.2392       3.0389
     246       3.1930       2.9976
     247       3.1961       3.0955
     248       3.5057       3.5142
     249       3.4420       3.9542
     250       3.3921       3.5278
     251       3.3883       4.1785
     252       3.5880       4.0383
     253       3.6938       4.2762
     254       3.6519       3.5103
     255       3.9944       4.0683
     256       3.8590       4.3815
     257       3.4722       3.4409
     258       3.5734       3.2775
     259       3.8405       3.2163
     260       3.3577       6.1226
     261       3.7237       4.2224
     262       3.7210       3.6233
     263       4.0708       5.3202
     264       4.0000       5.9295
     265       4.0611       4.6371
     266       3.9811       3.9599
     267       4.1204       3.7101
     268       3.8256       3.6940
     269       3.8577       4.0920
     270       3.7813       3.6554
     271       3.9841       4.0469
     272       4.2367       4.6185
     273       3.9360       3.9856
     274       3.8318       4.1058
     275       4.0336       4.0529
     276       3.9105       3.8406
     277       4.1863       3.6420
     278       3.7301       3.3994
     279       3.6933       3.2061
     280       3.6712       3.9094
     281       3.6190       3.9844
     282       3.7772       3.8722
     283       3.6967       4.8542
     284       3.6958       6.1229
     285       3.6459       3.3718
     286       3.2796       3.4655
     287       3.1854       3.6082
     288       3.1513       3.2273
     289       3.6068       3.8232
     290       3.4156       4.0957
     291       3.3587       3.2297
     292       3.7308       3.7998
     293       3.6382       3.5308
     294       3.4176       3.6429
     295       3.3817       3.7874
     296       3.6491       3.4829
     297       3.4616       3.6636
     298       3.6195       3.6036
     299       3.2821       3.8946
     300       3.6426       3.5400
     301       3.5562       4.3085
     302       3.4133       3.6520
     303       3.3903       5.2219
     304       3.4563       4.1192
     305       3.3687       5.6072
     306       3.3639       5.8125
     307       3.4734       5.0517
     308       3.0573       5.1761
     309       2.9350       5.0909
     310       2.9294       4.5168
     311       3.0086       4.6934
     312       3.1894       5.8043
     313       3.1294       5.3742
     314       3.1951       4.7596
     315       3.5825       6.0809
     316       3.9541       5.8478
     317       3.4294       5.9332
     318       3.4659       5.6061
     319       3.5047       5.8515
     320       3.5757       5.8293
     321       3.5433       5.6634
     322       3.4032       5.5146
     323       3.7560       5.4521
     324       3.5470       5.7541
     325       3.8783       5.4647
     326       3.5947       5.4636
     327       3.7288       5.4152
     328       4.0012       4.8609
     329       3.6645       4.8877
     330       3.5881       5.2513
     331       3.6375       5.6924
     332       3.4612       5.4224
     333       3.3293       5.4482
     334       3.1711       5.2390
     335       3.4109       5.8508
     336       3.2462       5.1669
     337       3.4454       5.7575
     338       3.3368       4.8890
     339       3.6536       5.0905
     340       3.4070       4.5596
     341       4.2302       4.5221
     342       4.0844       4.6765
     343       4.3220       4.0455
     344       4.2021       3.4494
     345       4.6246       3.0989
     346       4.1968       4.2134
     347       4.0591       3.8648
     348       3.5185       4.0742
     349       3.9796       3.4477
     350       3.5978       3.9508
     351       3.5699       4.1271
     352       3.6767       3.5064
     353       3.5691       3.3459
     354       3.5921       3.6996
     355       3.8740       3.8955
     356       3.4967       3.5101
     357       3.5483       3.1233
     358       3.6477       2.7208
     359       3.5233       3.4614
     360       3.5057       3.0853
     361       3.5480       3.2748
     362       3.6971       5.3026
     363       3.7950       3.5303
     364       3.8358       5.2428
     365       3.8275       5.3894
     366       3.6302       4.8249
     367       3.7504       5.1765
     368       3.5818       4.4885
     369       3.5161       4.4491
     370       3.7459       6.1802
     371       3.8192       6.4918
     372       3.7598       6.3353
     373       3.9094       6.5652
     374       3.7713       5.9489
     375       3.8107       4.8340
     376       3.9121       5.5906
     377       4.0705       5.4400
     378       3.9309       6.1468
     379       3.9980       5.1505
     380       4.1401       3.7266
     381       4.3418       4.7142
     382       3.8574       4.0266
     383       3.8366       3.5912
     384       3.3971       3.4735
     385       3.8144       3.1679
     386       3.6892       3.3968
     387       3.3497       4.2050
     388       3.4203       3.8548
     389       3.3689       3.9521
     390       3.0856       3.7426
     391       3.2076       3.7965
     392       3.6069       3.5630
     393       3.6714       3.7453
     394       3.7764       3.2729
     395       3.8754       4.0106
     396       3.8116       4.5172
     397       4.1426       4.7744
     398       3.9613       4.2281
     399       3.6144       4.5886
     400       3.5506       3.8975
     401       3.7667       4.0877
     402       3.8589       4.5693
     403       3.8389       4.3466
     404       3.7579       4.0649
     405       3.5164       4.3746
     406       3.6950       4.0176
     407       3.5817       3.9539
     408       3.6395       3.0837
     409       3.7745       3.5130
     410       3.7637       3.8976
     411       3.9318       6.5812
     412       4.0293       6.5236
     413       3.9882       6.4691
     414       4.0178       6.6597
     415       4.0795       4.5607
     416       4.3687       4.3043
     417       4.5519       4.4048
     418       4.0876       4.4970
     419       4.1143       4.6830
     420       4.0064       3.4247
     421       3.8191       3.4340
     422       4.3791       3.5143
     423       4.2415       3.8997
     424       3.9815       3.2794
     425       4.1308       3.9080
     426       3.6284       3.3778
     427       3.7851       3.0356
     428       4.0991       4.6468
     429       4.0073       4.4359
     430       4.2259       3.6963
     431       4.0900       3.2176
     432       3.9929       3.2929
     433       3.8791       3.2963
     434       4.0159       2.9449
     435       3.3620       3.4487
     436       3.2595       2.4938
     437       3.2962       3.1998
     438       3.4358       2.8529
     439       3.3685       3.3183
     440       3.3398       2.9255
     441       3.5187       3.1334
     442       3.8377       2.9366
     443       3.8144       3.6051
     444       3.5127       2.5502
     445       3.5488       3.1953
     446       3.4258       3.1964
     447       3.7808       3.1454
     448       4.2536       3.0269
     449       4.1683       3.2661
     450       4.5113       3.2391
     451       4.5373       3.1199
     452       3.9708       3.1885
     453       3.8531       2.7968
     454       3.4806       2.4762
     455       3.7026       2.6197
     456       3.7147       3.1117
     457       3.7637       2.3195
     458       3.3844       2.6713
     459       3.7005       3.0702
     460       3.8622       2.9950
     461       3.4648       2.2748
     462       3.7451       2.6933
     463       3.5581       1.9019
     464       4.0107       3.4409
     465       3.4565       3.7527
     466       3.6775       4.3003
     467       3.9806       2.3210
     468       3.6104       2.9110
     469       3.5830       3.1725
     470       3.6020       2.7544
     471       3.7580       3.6420
     472       3.7943       3.4950
     473       3.7758       3.5932
     474       3.5806       3.5220
     475       3.7030       2.8236
     476       3.9466       4.1369
     477       3.9736       4.4964
     478       3.9988       4.4433
     479       3.9264       4.1964
     480       3.7595       3.3841
     481       3.9458       3.7368
     482       4.3660       3.5249
     483       4.2362       3.4689
     484       4.4581       3.4431
     485       4.2067       3.7560
     486       4.1442       3.0085
     487       4.3685       4.3710
     488       4.3002       3.7038
     489       4.2140       3.8473
     490       4.3589       3.3828
     491       4.1603       3.0643
     492       4.3724       3.4758
     493       4.1226       3.7529
     494       3.8817       3.0352
     495       4.1448       3.9203
     496       4.3373       3.4191
     497       4.3210       3.0959
     498       4.2440       3.3428
     499       4.2866       3.0224
     500       4.1988       2.8816
     501       4.2957       2.4811
     502       4.2644       3.5057
     503       4.2195       2.6218
     504       4.1876       3.8126
     505       4.2021       2.5266
     506       4.3976       4.2929
     507       4.2073       4.4427
