#Frame           SHP2       ligand
       1       0.0000       0.0000
       2       0.0801       0.1443
       3       0.1707       0.6150
       4       0.2869       0.7515
       5       0.6893       3.3094
       6       1.3302       3.4405
       7       1.3756       3.0676
       8       1.3786       2.8574
       9       1.5234       2.7311
      10       1.5331       3.0184
      11       1.3253       2.5678
      12       1.4929       2.7373
      13       1.6003       2.8855
      14       1.4328       2.8966
      15       1.3175       2.8008
      16       1.5734       3.0031
      17       1.5050       3.3905
      18       1.7635       3.3075
      19       1.7819       4.0535
      20       1.5479       4.3225
      21       2.1178       4.2663
      22       2.0850       4.0468
      23       2.2144       4.1080
      24       2.0741       4.3482
      25       1.7817       3.9524
