#Frame           SHP2       ligand
       1       0.0000       0.0000
       2       0.1811       0.4524
       3       0.1723       0.4914
       4       0.2773       0.3928
       5       0.2700       0.5344
       6       0.6004       1.0303
       7       0.6433       0.7438
       8       1.0591       1.0526
       9       1.2943       0.9506
      10       1.5111       0.8522
      11       1.3799       0.9149
      12       1.7215       0.7476
      13       1.8190       0.7627
      14       1.7606       0.8376
      15       1.5451       1.0383
      16       1.4888       0.9997
      17       1.5167       0.8381
      18       1.3511       0.8213
      19       1.2723       0.8216
      20       1.3311       1.0626
      21       1.4383       0.7901
      22       1.2754       0.9603
      23       1.3971       1.0151
      24       1.7658       0.8778
      25       1.9276       1.1630
      26       1.7294       1.3159
      27       2.0351       1.3370
      28       1.8970       0.8034
      29       1.9285       0.9169
      30       1.8139       0.6859
      31       1.6979       1.4419
      32       1.6765       0.7419
      33       1.5585       0.9276
      34       1.7436       0.9208
      35       1.5752       1.0253
      36       1.4683       1.0772
      37       1.5292       1.1683
      38       1.5239       1.1848
      39       1.7870       1.3653
      40       1.6905       1.4794
      41       1.6994       1.3177
      42       1.9872       1.4307
      43       1.9573       1.2828
      44       1.7818       0.8700
      45       1.8537       1.0549
      46       2.1702       1.1694
      47       2.4331       1.3912
      48       2.4802       1.1918
      49       2.2464       1.1779
      50       2.2242       1.1962
      51       2.2219       1.0143
      52       2.1079       1.2102
      53       2.2708       1.3815
      54       2.5618       1.7148
      55       2.5107       1.3557
      56       2.1210       1.1076
      57       2.0127       1.4620
      58       2.2181       1.1309
      59       1.9824       0.7433
      60       2.0227       1.2186
      61       1.9849       0.6281
      62       1.8356       1.0589
      63       1.8183       1.0189
      64       1.9478       1.5164
      65       2.0327       0.9127
      66       2.2108       1.1284
      67       2.3058       1.0175
      68       2.3314       0.9474
      69       2.1054       1.1882
      70       2.1802       0.9081
      71       2.1485       1.3062
      72       1.9885       1.1158
      73       1.9585       1.1792
      74       2.1083       1.1372
      75       2.1408       0.9386
      76       1.9673       0.7288
      77       1.8183       0.8311
      78       1.9160       1.1999
      79       2.0507       0.7210
      80       1.9505       0.5481
      81       1.8470       0.8154
      82       1.8480       0.7097
      83       1.8998       0.9073
      84       1.7694       1.0333
      85       1.9780       0.7366
      86       2.1073       0.8319
      87       2.1352       0.8070
      88       2.0276       0.9370
      89       2.0271       0.7637
      90       1.9524       0.8084
      91       2.0612       0.8852
      92       2.5072       1.2764
      93       2.2409       1.1975
      94       2.2166       0.9528
      95       2.1672       1.0512
      96       2.1061       0.7507
      97       2.1648       1.0422
      98       2.0576       0.7880
      99       2.2829       0.6613
     100       2.3010       0.8724
     101       2.3640       0.7974
     102       2.4348       1.1240
     103       2.3659       0.8696
     104       2.3309       0.8787
     105       2.3775       1.1299
     106       2.3285       0.9557
     107       2.3238       1.1085
     108       2.3817       0.9625
     109       2.3742       1.2242
     110       2.2319       0.9386
     111       2.4115       1.1083
     112       2.0770       0.9631
     113       2.3498       0.6411
     114       2.5723       1.5802
     115       2.3264       0.9488
     116       2.1378       1.1386
     117       2.0660       1.2708
     118       2.2817       1.0794
     119       2.1079       1.4888
     120       2.3282       1.2035
     121       2.5708       1.3507
     122       2.5128       1.0729
     123       2.3797       1.3048
     124       2.1925       1.0460
     125       2.1211       0.8642
     126       2.4606       0.8117
     127       2.2257       0.8339
     128       2.1216       0.4620
     129       2.1416       0.6192
     130       2.1946       0.4880
     131       2.2885       0.8168
     132       2.3107       0.9182
     133       2.2677       0.8996
     134       2.3727       1.6477
     135       2.4194       1.0893
     136       2.3517       0.7400
     137       2.4166       0.8419
     138       2.4393       1.0930
     139       2.3571       0.8532
     140       2.2560       1.0779
     141       2.5030       0.9146
     142       2.6264       1.0296
     143       2.4330       0.7095
     144       2.5693       0.6727
     145       2.7805       0.7755
     146       2.4904       0.7862
     147       2.4661       1.1243
     148       2.5193       1.6781
     149       2.7263       1.3062
     150       2.5024       1.2046
     151       2.6701       0.8365
     152       2.5137       0.9311
     153       2.7318       1.6256
     154       2.7571       1.4340
     155       2.8487       1.1973
     156       2.5641       1.1212
     157       2.5788       0.9307
     158       2.6274       0.9887
     159       2.7642       1.9144
     160       2.7074       1.7615
     161       2.5440       0.9617
     162       2.3975       1.5582
     163       3.0200       2.4584
     164       2.5884       1.3349
     165       2.4709       0.9715
     166       2.5204       1.0833
     167       2.5807       1.2760
     168       2.5314       0.9959
     169       2.5197       1.2853
     170       2.7444       1.2145
     171       2.9818       1.4046
     172       2.8701       1.8331
     173       3.0626       1.5336
     174       3.0725       1.7264
     175       3.3525       2.1545
     176       3.0079       1.8594
     177       3.2412       1.8432
     178       3.7004       2.5681
     179       3.7113       3.9604
     180       3.4330       2.2222
     181       2.8496       2.1899
     182       2.8046       2.5231
     183       2.9995       1.5527
     184       2.5809       1.0248
     185       2.8822       1.7180
     186       3.0936       1.8070
     187       3.3855       2.5665
     188       3.3035       2.3518
     189       3.4149       2.5142
     190       3.1617       2.7824
     191       3.2680       3.0817
     192       3.2048       1.9516
     193       3.3674       2.9340
     194       3.1453       2.7500
     195       3.1476       2.1484
     196       3.0926       2.4521
     197       3.3448       2.7036
     198       3.6923       3.3562
     199       3.7266       3.1512
     200       3.2826       2.3222
     201       3.4703       2.7434
     202       3.4016       3.1095
     203       3.2580       2.6421
     204       3.3924       2.8033
     205       3.7711       3.3859
     206       3.3901       3.0171
     207       3.4016       2.7437
     208       3.2482       2.5422
     209       3.8047       3.1373
     210       3.8587       2.5390
     211       3.8564       2.7160
     212       3.8201       2.4397
     213       4.0445       3.2428
     214       3.8817       3.5363
     215       3.4487       2.7844
     216       3.4973       2.7004
     217       3.6684       2.8723
     218       3.5040       2.9735
     219       3.3852       2.7233
     220       4.0179       3.4429
     221       3.6120       3.6234
     222       4.1668       3.3742
     223       4.2907       2.9824
     224       3.8273       3.0760
     225       4.3457       3.9577
     226       3.7489       3.0875
     227       3.8997       3.0519
     228       3.7851       3.3677
     229       3.5721       3.2427
     230       3.8326       3.7184
     231       3.5606       3.4812
     232       3.3027       2.7514
     233       3.3666       3.1660
     234       3.6101       2.7859
     235       3.2632       2.1970
     236       3.7874       2.6807
     237       3.9703       3.1543
     238       4.3578       3.2946
     239       3.6582       2.7357
     240       3.6528       2.7531
     241       3.6114       3.1066
     242       4.0255       3.1939
     243       3.8555       3.9713
     244       4.2169       4.1220
     245       3.7720       3.0546
     246       3.7373       3.0257
     247       3.7579       2.5058
     248       3.8550       3.9020
     249       3.6415       3.3112
     250       3.5536       2.7746
     251       3.7443       3.0451
     252       3.9512       3.5615
     253       4.0736       3.4720
     254       4.1422       3.1635
     255       3.4622       2.7294
     256       3.8688       2.8405
     257       4.4178       3.4602
     258       4.4783       3.8007
     259       4.3071       3.9835
     260       4.0190       3.8770
     261       4.0939       4.2897
     262       3.7004       2.9913
     263       4.2687       3.9024
     264       3.9407       2.9663
     265       4.4267       2.7571
     266       4.4967       2.5650
     267       4.2472       2.5557
     268       4.5835       3.4031
     269       4.4919       3.3274
     270       4.2261       2.4859
     271       3.5464       2.5899
     272       3.8223       2.8477
     273       3.4923       1.8577
     274       3.6033       2.7793
     275       3.4648       2.4137
     276       3.4516       2.1648
     277       3.4939       3.3321
     278       3.7581       3.3560
